country,MostVisitedNumOfArrivals,MostVisitedDataYear,shareOfVisits,WorstToVisitTravelAdvisoryQ42022,WorstToVisitPossibleThreats
LY,760000,2008,0.076164317,Level 4 (Do Not Travel),"Crime, terrorism, civil unrest, kidnapping, and armed conflict"
PY,1077000,2020,0.107932854,,
KG,8508000,2019,0.852639484,,
BG,4973000,2020,0.498375195,,
TM,380000,1998,0.038082158,,
SV,707000,2020,0.070852858,,
CG,158000,2018,0.015834161,,
SG,2742000,2020,0.274792838,,
DK,15595000,2020,1.562871739,,
CF,87000,2019,0.00871881,Level 4 (Do Not Travel),"Crime, civil unrest, kidnapping"
SK,15299000,2018,1.533207742,,
FI,896000,2020,0.089793721,,
NO,1397000,2020,0.14000204,,
NZ,996000,2020,0.099815342,,
CR,1146500,2020,0.114897881,,
LB,1936000,2019,0.194018576,,
IE,10951000,2019,1.097467677,,
MR,30000,2000,0.003006486,,
OM,869000,2020,0.087087883,,
PA,647000,2020,0.064839886,,
KW,2161000,2020,0.216567222,,
HR,21608000,2020,2.165471789,,
ER,142000,2016,0.014230701,,
GE,1513000,2020,0.15162712,,
MN,66900,2020,0.006704464,,
UY,3480000,2019,0.348752398,,
MD,29000,2020,0.00290627,,
PR,3882000,2020,0.389039313,,
BA,197000,2020,0.019742593,,
GM,246000,2020,0.024653187,,
AL,2658000,2020,0.266374677,,
JM,1329700,2020,0.13325749,,
AM,375000,2020,0.037581077,,
QA,582000,2020,0.058325832,,
BW,1830000,2018,0.183395658,,
LT,2284000,2020,0.228893816,,
NA,187100,2020,0.018750452,,
GA,526000,2005,0.052713725,,
LS,1142000,2019,0.114446908,,
GW,52400,2019,0.005251329,,
SI,1216000,2020,0.121862907,,
MK,118000,2020,0.011825512,,
LV,3204000,2020,0.321092725,,
TT,141000,2020,0.014130485,,
BH,1909000,2020,0.191312738,,
TL,74800,2019,0.007496172,,
EE,1695000,2020,0.16986647,,
MU,316000,2020,0.031668321,,
CY,4117000,2019,0.412590122,,
SZ,345300,2020,0.034604656,,
DJ,63000,2013,0.006313621,,
FJ,168000,2020,0.016836323,,
KM,7000,2020,0.000701513,,
GY,86400,2020,0.00865868,,
BT,29800,2020,0.002986443,,
SB,4400,2020,0.000440951,,
LU,525000,2020,0.052613508,,
SR,279000,2017,0.027960322,,
ME,351000,2020,0.035175888,,
CV,180000,2020,0.018038917,,
MT,718000,2020,0.071955236,,
MV,555000,2020,0.055619995,,
BN,1071000,2020,0.107331557,,
BZ,487000,2020,0.048805293,,
BS,1794500,2020,0.179837982,,
IS,488000,2020,0.048905509,,
VU,82400,2020,0.008257815,,
PF,89400,2020,0.008959329,,
NC,31000,2020,0.003106702,,
BB,966000,2019,0.096808855,,
ST,33400,2018,0.003347221,,
WS,23900,2020,0.002395167,,
CW,1293000,2019,0.129579555,,
LC,432500,2020,0.043343509,,
GU,328000,2020,0.032870916,,
KI,12000,2019,0.001202594,,
GD,217000,2020,0.021746917,,
FM,18000,2019,0.001803892,,
TO,94000,2019,0.009420323,,
SC,124500,2020,0.012476918,,
AW,1951000,2019,0.195521819,,
VC,392000,2019,0.039284753,,
AG,384500,2020,0.038533131,,
AD,5207000,2020,0.521825787,,
DM,140000,2020,0.014030269,,
KY,660000,2020,0.066142696,,
BM,51400,2020,0.005151113,,
MP,487000,2019,0.048805293,,
KN,301400,2020,0.030205165,,
TC,370400,2020,0.037120083,,
SX,1952000,2019,0.195622035,,
AS,900,2020,9.02E-05,,
MH,6100,2019,0.000611319,,
LI,58400,2020,0.005852626,,
MC,159000,2020,0.015934377,,
SM,1904000,2019,0.190811657,,
PW,18400,2020,0.001843978,,
TV,3600,2019,0.000360778,,
AF,,,,Level 4 (Do Not Travel),"Armed conflict, civil unrest, crime, terrorism, and kidnapping (especially targeting US citizens)"
KP,,,,Level 4 (Do Not Travel),Continuing serious risk of arrest and long-term detention of US nationals
SO,,,,Level 4 (Do Not Travel),"Crime, terrorism, civil unrest, health issues, kidnapping, and piracy"
SS,,,,Level 4 (Do Not Travel),"Crime, kidnapping, and armed conflict"
PS,,,,Other,"Terrorism, civil unrest, and armed conflict"
